,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
100,baherden,38.44,57.43,65.12,40.0,1.0,7.29,TM
102,kousseri,12.08,15.03,86.0,16.0,25.0,5.82,CM
103,altay,47.87,88.12,46.08,36.0,89.0,4.18,CN
104,pacific grove,36.62,-121.92,60.6,51.0,90.0,10.29,US
105,onokhoy,51.93,108.07,30.2,58.0,75.0,11.18,RU
106,arraial do cabo,-22.97,-42.03,74.16,71.0,97.0,8.01,BR
107,santa marta,11.24,-74.2,81.23,72.0,19.0,15.93,CO
108,tooele,40.53,-112.3,58.39,29.0,1.0,8.05,US
109,constitucion,-35.33,-72.42,59.74,91.0,76.0,10.0,CL
110,tuktoyaktuk,69.45,-133.04,10.4,78.0,75.0,9.17,CA
111,pilar,-9.6,-35.96,78.8,94.0,40.0,3.36,BR
112,ajdabiya,30.76,20.23,62.26,51.0,13.0,8.7,LY
113,tazovskiy,67.47,78.7,35.98,98.0,100.0,16.44,RU
114,beringovskiy,63.05,179.32,21.25,97.0,100.0,16.64,RU
115,ribeira grande,38.52,-28.7,61.86,85.0,100.0,15.57,PT
116,vigrestad,58.57,5.7,37.11,86.0,0.0,4.54,NO
117,kiruna,67.86,20.23,30.2,86.0,18.0,2.24,SE
118,westport,41.14,-73.36,42.44,75.0,90.0,8.05,US
119,morros,-9.45,-46.3,72.82,82.0,100.0,2.24,BR
120,provideniya,64.38,-173.3,23.2,96.0,100.0,13.89,RU
121,cherskiy,68.75,161.3,7.32,88.0,22.0,8.97,RU
123,vila velha,-20.33,-40.29,75.09,78.0,75.0,10.29,BR
124,thompson,55.74,-97.86,17.6,37.0,20.0,14.99,CA
125,saint-philippe,-21.36,55.77,70.23,78.0,20.0,16.11,RE
127,morondava,-20.28,44.28,76.55,71.0,0.0,5.97,MG
129,bredasdorp,-34.53,20.04,50.0,87.0,55.0,2.24,ZA
131,san quintin,30.48,-115.95,62.28,67.0,0.0,19.28,MX
132,guerrero negro,27.98,-114.06,63.79,61.0,0.0,21.18,MX
133,novobelokatay,55.71,58.95,34.03,80.0,37.0,7.83,RU
135,sitio novo do tocantins,-5.52,-47.46,73.26,90.0,99.0,2.26,BR
136,belmonte,-15.86,-38.88,77.0,73.0,75.0,9.17,BR
137,namikupa,-10.83,39.6,69.31,89.0,98.0,3.98,TZ
138,maymyo,22.03,96.47,73.4,64.0,40.0,3.36,MM
139,chara,56.91,118.26,14.13,73.0,100.0,8.39,RU
140,mago,53.25,140.18,30.33,86.0,90.0,8.52,RU
141,bathsheba,13.22,-59.52,79.14,76.0,19.0,17.78,BB
142,arman,59.7,150.17,12.06,83.0,99.0,14.32,RU
143,carutapera,-1.2,-46.02,79.18,84.0,91.0,5.48,BR
